canyudu,jiaoshiqinggan,jiatingnianshouru,muqinxueli,muqinzhiye,nianji,sex,xuexilequ,xueyeyali,juandai
28,26,1,1,1,6,2,26,34,1
34,24,1,3,3,6,2,27,31,0
30,27,2,1,1,6,1,27,30,1
30,27,1,1,1,2,1,27,30,1
22,28,2,2,1,2,2,28,36,0
30,32,3,1,1,6,1,28,17,0
27,29,2,2,1,2,1,35,31,0
39,30,2,2,1,6,2,34,37,0
46,42,5,4,3,4,2,44,19,0
20,35,2,1,1,6,1,25,43,1
30,34,1,2,2,3,1,27,21,0
20,23,2,2,1,5,2,25,27,1
40,30,1,3,2,6,2,36,30,0
50,45,4,4,4,2,1,45,50,1
30,34,1,2,1,2,1,36,32,0
38,33,2,3,4,6,2,36,13,0
29,29,2,2,1,6,2,27,33,0
10,36,4,2,1,2,1,36,10,0
34,29,4,2,1,6,2,32,25,0
30,27,2,2,2,4,1,27,40,1
50,45,2,1,1,2,1,45,50,1
12,19,1,3,1,3,1,21,45,1
38,41,1,3,1,1,2,38,44,0
21,27,2,1,2,2,1,23,32,1
30,27,2,2,1,6,1,27,30,0
21,21,2,3,1,2,2,19,31,1
27,25,2,2,3,2,1,27,29,0
50,36,2,2,3,5,2,41,25,0
33,31,1,1,1,6,2,34,17,0
32,36,2,1,1,5,2,36,34,0
30,27,4,3,3,6,2,27,30,0
31,32,2,2,2,6,2,31,30,0
48,36,3,3,1,2,1,43,25,0
26,42,3,2,1,2,1,35,34,0
30,27,1,2,3,4,2,29,20,0
28,27,2,3,2,2,1,22,27,0
20,27,3,2,1,1,1,24,22,1
31,34,1,2,2,6,2,31,33,0
48,45,2,2,1,2,2,45,15,0
30,29,2,1,1,5,2,30,31,0
30,27,1,2,1,2,2,27,32,1
26,29,1,2,1,2,2,32,27,0
30,45,1,2,1,4,1,43,33,0
24,21,3,1,1,6,1,27,30,0
29,27,2,2,1,6,2,27,23,0
33,33,1,2,1,2,2,28,39,0
31,28,1,2,1,2,2,34,31,1
34,27,1,2,1,2,2,27,36,0
38,35,2,3,1,6,2,33,37,0
20,18,1,2,1,2,1,20,40,1
33,32,2,2,3,3,1,30,35,0
50,45,1,2,1,4,1,45,13,0
26,42,2,2,1,6,1,28,46,1
37,35,2,1,1,6,1,33,30,0
40,36,1,2,3,6,1,36,28,0
30,36,2,2,3,4,2,33,30,1
34,44,2,3,2,4,1,35,20,0
31,28,2,2,1,1,2,33,30,0
50,45,3,2,3,2,2,45,50,1
23,27,1,2,1,5,1,27,35,1
30,27,2,3,1,2,1,27,30,1
30,32,2,2,1,6,2,30,26,0
31,30,1,2,1,2,2,38,25,0
11,31,2,2,1,6,2,16,39,1
30,15,1,1,1,1,2,21,36,1
20,27,1,2,1,2,1,22,31,1
29,41,4,4,4,4,1,31,29,0
20,15,2,2,1,2,1,17,30,1
34,38,3,4,4,1,1,37,40,0
29,25,3,2,3,1,2,27,33,0
39,45,1,2,1,4,2,42,30,0
26,27,1,2,1,6,2,26,35,1
48,9,4,3,4,6,2,32,32,0
31,36,1,3,3,6,1,34,24,0
35,25,1,1,1,5,2,34,44,0
30,35,3,3,1,4,1,31,30,0
22,15,1,2,1,2,1,21,38,1
30,27,2,2,2,3,2,27,35,0
30,27,1,2,1,5,2,27,34,1
22,13,2,2,1,3,1,18,34,1
16,30,1,1,1,3,2,28,47,1
32,30,1,2,1,3,2,31,31,1
25,25,1,2,1,3,2,27,35,1
30,27,3,2,2,6,2,30,38,0
31,30,3,3,3,6,2,30,19,0
30,27,1,2,1,2,1,27,30,1
47,33,1,1,1,3,2,41,20,0
32,31,2,2,1,1,2,35,27,0
24,27,2,2,1,6,1,24,32,0
10,13,1,1,4,5,1,9,38,1
46,39,4,4,4,6,2,43,16,0
32,28,2,2,3,3,2,29,23,0
13,25,4,3,3,5,1,17,36,1
40,37,2,2,1,3,1,37,32,0
36,45,4,2,1,3,1,34,42,1
27,39,1,2,1,3,2,31,34,0
50,45,1,1,1,2,2,45,50,1
30,27,2,2,1,2,2,27,30,1
38,45,2,5,5,4,1,45,30,0
20,35,2,1,1,6,2,31,30,0
43,35,2,2,1,1,2,40,16,0
30,27,1,2,1,2,1,27,30,1
32,27,1,2,1,2,2,27,22,0
22,32,2,1,1,5,2,26,20,0
35,36,2,2,2,4,1,36,26,0
20,39,1,2,1,3,1,33,26,1
30,27,2,2,2,5,1,27,30,1
36,32,3,2,1,3,1,31,34,0
37,36,1,2,1,1,2,36,30,0
22,24,4,2,1,3,2,31,20,0
40,36,2,3,2,5,2,36,10,0
10,22,2,2,1,4,2,9,40,1
35,34,2,3,1,6,1,33,36,1
40,28,4,2,1,6,2,29,30,0
41,35,1,1,1,6,2,36,31,0
30,27,3,1,3,6,1,27,30,1
33,37,2,2,1,6,2,34,36,0
50,45,4,3,3,4,1,45,11,0
32,25,3,2,1,6,2,28,40,1
30,27,2,2,1,1,2,27,31,1
28,28,2,2,3,1,2,30,43,0
30,22,2,3,2,6,2,29,32,1
27,27,4,2,3,6,1,24,32,0
24,36,2,3,1,6,1,30,19,0
30,12,3,2,1,6,2,27,24,0
33,33,5,2,1,6,2,34,30,0
30,27,1,1,1,6,2,27,31,1
